case_file_id,dossier_type,document_state,file_name,file_path
001,estate,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_001/estate/Doc 8.JPG
001,inspection,done,Doc 12.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_001/inspection/Doc 12.JPG
001,licenses,done,Doc 13.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_001/licenses/Doc 13.JPG
001,licenses,done,Doc 14.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_001/licenses/Doc 14.JPG
001,support,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_001/support/Doc 6.JPG
001,support,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_001/support/Doc 8.JPG
002,estate,done,Doc 16.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_002/estate/Doc 16.JPG
002,inspection,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_002/inspection/Doc 9.JPG
002,licenses,done,Doc 11.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_002/licenses/Doc 11.JPG
002,licenses,done,Doc 12.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_002/licenses/Doc 12.JPG
002,support,done,Doc 10.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_002/support/Doc 10.JPG
002,support,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_002/support/Doc 8.JPG
003,estate,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/estate/Doc 1.JPG
003,estate,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/estate/Doc 4.JPG
003,inspection,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/inspection/Doc 9.JPG
003,licenses,done,Doc 10.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/licenses/Doc 10.JPG
003,licenses,done,Doc 11.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/licenses/Doc 11.JPG
003,support,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/support/Doc 2.JPG
003,support,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/support/Doc 7.JPG
003,support,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_003/support/Doc 8.JPG
004,estate,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_004/estate/Doc 4.JPG
